organization_name,website,phone_number,org_address,org_description,schedule,gender,kids,active,last_update,zipcode
Elizabeth Gregory Home,http://eghseattle.org/programs/,(206) 729-0262,"University Lutheran Church\, 1604 NE 50th St.",Day center with optional case management services for anyone 18 and older who identifies as female. Visit in person. Call to request interpreter services. No fees. Transitional housing and case management for sober single women 18 and older who are homeless or very low-income. Anyone who identifies as female is welcome. Accepts domestic violence survivors. Cannot accept those with an arson conviction fewer than 10 years old. Visit day center in person to apply. Openings are limited. Fees are 30 percent of monthly income. No income is required to apply.,"Mon. – Fri.\, 9 a.m. – 4:30 p.m.; Breakfast: 9 a.m.; Lunch: noon",women only,allowed,t,,
Mary’s Place,http://marysplaceseattle.org/how-we-help/day-center/,(206) 621-8474; 24 Hour Intake (206) 245-1026,1830 Ninth Ave.,"Day center connecting clients to services for anyone identifying as female\, with or without children. Visit in person. No fees.","Mon. – Fri.\, 7 a.m. – 5 p.m.; Breakfast: 7:30 – 8:30 a.m.; Lunch: 12:30 – 1:15 p.m.; Day Center: 7 a.m. – 3:30 p.m.",women only,allowed,t,,
Peter’s Place Day Center,http://compasshousingalliance.org,(206) 474-1630,,"Hygiene and laundry services available between 9am and noon. Serves homeless adults\, 18 and older only. Provides a space for community and housing navigation.","Mon. - Fri.\, 9 a.m. - 5 p.m.",no restrictions,not allowed,t,,
"Seattle’s Union Gospel Mission\, Second Ave.",http://ugm.org/what-we-do/welcome-and-embrace,Day Center: English: (206) 622-5177; Spanish: (206) 622-5177 x 473; Substance Abuse Treatment for Men: English: (206) 622-5177 x 458; ,318 Second Ave. Extension South,"Drop-in community room with mail and hygiene services for homeless adults. Showers available M-F 2-4pm. Visit in person. Spanish speaking clients: call during Spanish phone line hours. No fees.  Pet clinic\, second and fourth Sat.\, 1 p.m. One year residential Christian recovery program. Not a state-certified chemical dependency program. Serves homeless men 18 and older. Call or visit site. Spanish-speaking clients: Call during Spanish phone line hours. Meal serving everyone. Visit in person. No fees. Operates an overnight shelter. No intoxicated clients accepted. Returning clients: arrive before 7:45 p.m. Documents Required: ID. No fees. *Services may be limited due to religious affiliation.","Day Center: Mon. – Fri.\, 2 – 5:30 p.m.; Mail: Mon. – Fri.\, 10 a.m. – 5 p.m.; Spanish phone hours: Mon. – Fri.\, 3:30 – 8:30 p.m.; Substance Abuse Treatment Intake: Mon.– Fri.\, 6:30 – 7:30 a.m.; Mon.\, Tue.\, Thurs.\, 10 – 11 a.m.; 24-hour English Hotline; Spanish Hotline: Mon. – Fri.\, 3:30 – 8:30 p.m.; Meals: daily: 7:30\, 11:30 a.m.\, 5:30 p.m.\, No lunch Sun.; In-person intake: Mon. – Fri.\, 7 a.m. - 10 a.m.; 3:30 – 7:45 p.m.",no restrictions,not allowed,t,,
Solanus Casey Center,http://ccsww.org/get-help/shelter-homeless-services/,(206) 223-0907,"St. James Cathedral\, 804 Ninth Ave.","Hospitality\, advocacy\, telephone use and resource referral information for people who are unemployed and/or homeless. Provides administrative and financial help for people who have had their WA State IDs stolen\, lost or confiscated. No fees.","Drop-in only: Mon. – Thurs.\, 1 – 4 p.m.",no restrictions,allowed,t,,
Sophia Way,http://sophiaway.org/we-care/,(425) 463-6285,"3032 Bellevue Way NE St.\, Luke’s Lutheran Church\, Bellevue","6 month shelter\, daily rotating shelter and day center. Clients should not expect to get shelter immediately. Facility is wheelchair accessible. Serves adult homeless women\, including trans clients identifying consistently as female. Call for intake. Background check required. Documents Required: documentation for service animals. Daytime drop-in center for homeless or low-income women and women with children. Visit or call for information. No fees.","Intake for 6 month shelter: Mon. – Fri.\, 9 a.m. – 5 p.m.; Day Center: daily\, 8 a.m. – 3 p.m.; Lunch: daily\, 11:30 a.m.",women only,allowed,t,,
"HealthPoint\, Tukwila",http://healthpointchc.org,(206) 839-3600,"13030 Military Rd S.\, Suite 210\, Tukwila","Dental care serving children and adults. Call for an appointment or visit drop-in clinic. Accepts most insurance plans\, Medicare and Apple Health (Medicaid). Sliding scale fees.","Mon. – Fri.\, 7:45 a.m. – 5:30 p.m.; Sat.\, 7:45 a.m. – 12:00 p.m.; Drop-in hours: Mon.\, 7:45 a.m. – noon.; Closed: Mon. – Fri.\, 12:30 – 1:15 p.m.",no restrictions,allowed,t,,
"HealthPoint\, Des Moines",http://healthpointchc.org,(206) 870-3600,"26401 Pacific Hwy S.\, Suite 201","Dental care serving children and adults. Call for an appointment or visit drop-in clinic. Accepts most insurance plans\, Medicare and Apple Health (Medicaid). Sliding scale fees.","Mon. – Fri.\, 7:30 a.m. – 5:30 p.m.; Sat.\, 8:30 a.m. – 12:30 p.m.; Drop-in hours: Mon. - Fri.\, 7:30 a.m. - 5:30 p.m.; Closed: Mon. – Fri.\, 12:30 – 1:30 p.m.",no restrictions,allowed,t,,
"International Community Health Services\, Shoreline",http://ichs.com/,(206) 533-2600; Maternal Care Center: (206) 533-2687,16549 Aurora Ave. N,"Offers primary care\, behavioral health and suboxone treatment. Staff is multilingual. Serves everyone. Call for an appointment. Same day appointments. Accepts major private insurances\, Apple Health (Medicaid) and Medicare. Sliding scale fees. No one is turned away due to inability to pay. Pregnancy services\, WIC\, child health services and STD testing and treatment serving pregnant women and new mothers. Substance abuse services\, including Suboxone treatment\, serving adults. Call to schedule an assessment. Provides DBHR-certified services.","Dental: Mon. – Sat.\, 7:30 a.m. – 6 p.m.; Substance Abuse: Mon.\, Wed.\, 7:30 a.m. – 6 p.m.; Tue.\, Thurs. – Sat.\, 8:30 a.m. – 5 p.m.; Clinic: Wed.\, 9 a.m. – 5:30 p.m.; first and third Fri.\, 9 a.m. – 5:30 p.m.",no restrictions,allowed,t,,
"International Community Health Services\, Othello St.",http://ichs.com/,Dental: (206) 788-3502; Substance Abuse: (206) 788-3500,3815 S. Othello St.,"Offers primary care\, behavioral health and suboxone treatment. Staff is multi-lingual. Serves everyone. Call for an appointment. Same day appointments. Accepts major private insurances\, Apple Health (Medicaid) and Medicare. Sliding scale fees. No one is turned away due to inability to pay. Substance abuse services\, including Suboxone treatment\, serving adults. Call to schedule an assessment. Provides DBHR-certified services.","Dental: Mon.\, Tue.\, Thurs. – Sat.\, 7:30 a.m. – 6 p.m.; Wed.\, 8:30 a.m. – 7 p.m.; Substance Abuse: Mon.\, Wed.\, 7:30 a.m. – 7 p.m.; Tue.\, Thurs.\, Fri.\, 7:30 a.m. – 6 p.m.; Sat.\, 8 a.m. – 5:30 p.m.",no restrictions,allowed,t,,
"International Community Health Services\, 8th Ave. S.",http://ichs.com/,Dental: (206) 788-3757; Vision: (206) 788-3505,720 8th Ave. S,"Offers primary care\, behavioral health and suboxone treatment. Staff is multi-lingual. Serves everyone. Call for an appointment. Same day appointments. Accepts major private insurances\, Apple Health (Medicaid) and Medicare. Sliding scale fees. No one is turned away due to inability to pay. Substance abuse services\, including Suboxone treatment\, serving adults. Call to schedule an assessment. Provides DBHR-certified services.","Dental & Vision: Mon.-Sat.\, 7:30 a.m. – 6 p.m.; Substance Abuse: Mon.\, Tue.\, Fri.\, 7:30 a.m. – 6 p.m.; Wed.\, Thurs.\, 7:30 a.m. – 7 p.m.;  Sat.\, 8:30 a.m. – 5 p.m.",no restrictions,allowed,t,,
King County North Public Health,http://kingcounty.gov/depts/health/locations/dental.aspx,(206) 205-8580,12359 Lake City Way NE,"General dental care services. North and South Seattle serves children 1-18\, low-income pregnant women and low-income adults if Medicaid eligible. Central Seattle serves people who are homeless\, 13 and older. Call for an appointment. Tiered flat fee for the uninsured. Accepts Apple Health (Medicaid). If uninsured\, call for more information.","Mon. – Fri.\, 8 a.m. – 5 p.m.",no restrictions,allowed,t,,
King County Columbia Public Health,http://kingcounty.gov/depts/health/locations/dental.aspx,Dental: (206) 535-2497; Maternal Care: (206) 296-4650,4400 37th Ave. S,"General dental care services. North and South Seattle serves children 1-18\, low-income pregnant women and low-income adults if Medicaid eligible. Central Seattle serves people who are homeless\, 13 and older. Call for an appointment. Tiered flat fee for the uninsured. Accepts Apple Health (Medicaid). If uninsured\, call for more information. Maternal and family health programs\, such as pregnancy services\, primary care\, WIC\, information and guidance from nurses\, as well as Mom’s Plus case management for those seeking substance abuse treatment. Offers: nursing\, WIC and maternity services.","Dental: Mon. – Fri.\, 8 a.m. – 5 p.m.; Maternal Care: Mon. – Thurs.\, 8:30 a.m. – 6 p.m.; Fri.\, 8 a.m. – 5 p.m.",no restrictions,allowed,t,,
King County Downtown Public Health,http://kingcounty.gov/depts/health/locations/dental.aspx,(206) 477-8300,2124 Fourth Ave.,"General dental care services. North and South Seattle serves children 1-18\, low-income pregnant women and low-income adults if Medicaid eligible. Central Seattle serves people who are homeless\, 13 and older. Call for an appointment. Tiered flat fee for the uninsured. Accepts Apple Health (Medicaid). If uninsured\, call for more information.","Mon. – Fri.\, 8 a.m. – 5 p.m.",no restrictions,allowed,t,,
Millionair Club Charity,http://millionairclub.org/how-we-help,(206) 728-5627,2515 Western Ave.,"Weekly eye clinic. Can receive a pair of glasses once per year. Serves those without vision insurance who are at or below 200 percent of the Federal Poverty Level. Call for appointment. Limited drop-in appointments on Thursday. Program runs from September through June. Documents required: ID. No fees. Showers\, laundry\, breakfast daily 6:am - 10:30 for anyone; lunch noon; Computer lab for worksource support. Places clients into temporary day labor and full time hired jobs. Offers bus tickets for work assignments. Documents required: valid state or governmentally issued photo ID and a Social Security card. Background check is done. First-time clients apply in person. Breakfast and lunch. Visit in person. No fees.","Call: Mon. – Fri.\, 6 a.m. – 2 p.m.; Apts: Thurs. 9 a.m. – noon; Orientation: Mon at 8am for work opportunities; Breakfast: Mon. – Fri.\, 6:15 – 7 a.m.; Lunch: Mon. – Fri.\, noon – 1:30 p.m.; ",no restrictions,allowed,t,,
"Neighborcare Health\, Meridian",http://neighborcare.org/clinics/dental,(206) 296-4990,10521 Meridian Ave N. Suite A,"General dentistry serving everyone. Call to make an appointment or visit during drop-in hours (90 min before close). Sliding scale fees. Patients seen regardless of ability to pay. Apple Health (Medicaid)\, most Medicare Advantage plans and private insurance accepted.","Mon.\, Tue.\, Thurs.\, Fri.\, 7:15 a.m. – 6 p.m.; Wed.\, 9 a.m. – 6:30 p.m.; Sat.\, 7:45 a.m. – 12:45 p.m.",no restrictions,allowed,t,,
"Neighborcare Health\, 45th St.",http://neighborcare.org/clinics/dental,(206) 548-2964,1629 N. 45th St.,"General dentistry serving everyone. Call to make an appointment or visit during drop-in hours (90 min before close). Sliding scale fees. Patients seen regardless of ability to pay. Apple Health (Medicaid)\, most Medicare Advantage plans and private insurance accepted.","Mon. – Fri.\, 7 a.m. – 5:30 p.m.; Closed 11:45 - 12:30 p.m.; Sat.\, 8 a.m. – 4:30 p.m.; Closed noon -12:30 p.m.",no restrictions,allowed,t,,
"Neighborcare Health\, Central District",http://neighborcare.org/clinics/dental,(206) 461-7801,2101 E. Yesler Way second floor,"General dentistry serving everyone. Call to make an appointment or visit during drop-in hours (90 min before close). Sliding scale fees. Patients seen regardless of ability to pay. Apple Health (Medicaid)\, most Medicare Advantage plans and private insurance accepted.","Mon. – Fri.\, 7:15 a.m. – 6 p.m.",no restrictions,allowed,t,,
"Neighborcare Health\, Ranier Beach",http://neighborcare.org/clinics/dental,(206) 461-6981,9245 Rainier Ave. S,"General dentistry serving everyone. Call to make an appointment or visit during drop-in hours (90 min before close). Sliding scale fees. Patients seen regardless of ability to pay. Apple Health (Medicaid)\, most Medicare Advantage plans and private insurance accepted.","Mon. – Fri.\, 6:45 a.m. – 5:30 p.m.; Closed from 8 - 9:30 am on the first and third Wednesday of the month.",no restrictions,allowed,t,,
"Neighborcare Health\, Pacific Tower",http://neighborcare.org/clinics/dental,(206) 548-5850,"1200 12th Ave. S\, Suite 401","General dentistry serving everyone. Call to make an appointment or visit during drop-in hours (90 min before close). Sliding scale fees. Patients seen regardless of ability to pay. Apple Health (Medicaid)\, most Medicare Advantage plans and private insurance accepted.","Mon. – Fri.\, 7 a.m. – 6 p.m.",no restrictions,allowed,t,,
"Neighborcare Health\, High Point",http://neighborcare.org/clinics/dental,(206) 461-6966,6020 35th Ave. SW,"General dentistry serving everyone. Call to make an appointment or visit during drop-in hours (90 min before close). Sliding scale fees. Patients seen regardless of ability to pay. Apple Health (Medicaid)\, most Medicare Advantage plans and private insurance accepted.","Mon. – Fri.\, 7 a.m. – 5:30 p.m.; Sat.\, 9 a.m. – 1 p.m.; Closed: 11:45 a.m. – 12:30 p.m. daily; Walk-in appointments available Mon. - Fri. 6:45 a.m. - 4 p.m. Sat. 8:45 a.m. - 12:30 p.m.",no restrictions,allowed,t,,
"Neighborcare Health\, Georgetown",http://neighborcare.org/clinics/dental,(206) 461-6943,6200 13th Ave. S,"General dentistry serving everyone. Call to make an appointment or visit during drop-in hours (90 min before close). Sliding scale fees. Patients seen regardless of ability to pay. Apple Health (Medicaid)\, most Medicare Advantage plans and private insurance accepted.","Mon. – Fri.\, 7:15 a.m. – 6 p.m.",no restrictions,allowed,t,,
"Sea Mar Community Health Center\, Burien",http://seamar.org/services-dental.html,(206) 631-7316,"18010 Eighth Ave. S.\, Suite 416","Primary dental care and emergency dental care serving everyone and WIC serving pregnant women\, new mothers and children\, birth through 17. Offers sliding scale fees. Accepts Apple Health (Medicaid) and private insurance.","Mon. – Fri.\, 8 a.m. – 5 p.m.",no restrictions,allowed,t,,
"Sea Mar Community Health Center\, Des Moines",http://seamar.org/services-dental.html,(206) 212-4520,2781 S. 242nd St.,"Primary dental care and emergency dental care serving everyone and WIC serving pregnant women\, new mothers and children\, birth through 17. Outpatient behavioral health clinics provides counseling as well as bilingual domestic violence survivor and chemical dependency support groups. Agency provides DBHR-certified service(s). Serves everyone. Call or visit in person to make an appointment. Sliding scale fees. Offers sliding scale fees. Accepts Apple Health (Medicaid) and private insurance.","Mon. – Sat.\, 8 a.m. – 5 p.m.",no restrictions,allowed,t,,
"Sea Mar Community Health Center\, 14th Ave. S.",http://seamar.org/services-dental.html,(206) 762-3263,8915 14th Ave. S,"Primary dental care and emergency dental care serving everyone and WIC serving pregnant women\, new mothers and children\, birth through 17. Offers sliding scale fees. Accepts Apple Health (Medicaid) and private insurance. Latino Senior Information and Assistance Program: senior housing\, social security\, state benefits. Information and advocacy for social\, medical and transportation services. Serves Spanish-speaking older adults. No fees.","Mon. – Fri.\, 8 a.m. – 5 p.m.; Sat.\, Pediatrics 8 a.m. - 5 p.m.",no restrictions,allowed,t,,
"Sea Mar Community Health Center\, 15th Ave. S.",http://seamar.org/services-dental.html,(206) 965-1005,"9650 15th Ave. SW\, Suite 100",Primary dental care and emergency dental care serving everyone. Call for appointment or visit in person. Sliding scale fees. Accepts Apple Health (Medicaid) and private insurance.,"Mon. – Sat.\, 8 a.m. – 5 p.m.",no restrictions,allowed,t,,
"Seattle's Union Gospel Mission\, Third Ave.",http://ugm.org/what-we-do/provide-and-serve/,(206) 621-7695; Day Center: English: (206) 622-5177; Spanish: (206) 622-5177 x 473; Substance Abuse Treatment for Men: English: (206) 622-5177 x 458; Spanish: (206) 622-5177 x 473,205 Third Ave.,"Dental services serving adults 18 and older with income at or below 200 percent of the Federal Poverty Level. Call for an appointment. Documents required: Photo ID\, food stamp award letter or documentation of income for the last two months. Fees are $20 per visit\, debit or credit only. Call for more information. *Services may be limited due to religious affiliation.","Mon. – Fri.\, 10 a.m. – 2 p.m.",no restrictions,allowed,t,,
"ADD Health Counseling Services & Seattle Treatment Services\, Yesler Way",http://seattletreatmentservices.org,(206) 525-0094,"1404 E. Yesler Way\, Suite 202C","Intensive outpatient treatment\, outpatient\, Alcohol and Drug Information School and DUI assessments. Agency provides DBHR-certified service(s). Serves anyone with an alcohol or drug problem. Call for information about the application process and fees.","Phone Hours: 24 hours; Seattle appointment times vary; Walk-in appointments: Tue.\, Thurs.\, 9 a.m. – 9 p.m.",no restrictions,allowed,t,,
"ADD Health Counseling Services & Seattle Treatment Services\, Rainier Ave.",http://seattletreatmentservices.org,(206) 525-0094,5237 Rainier Ave. S,"Intensive outpatient treatment\, outpatient\, Alcohol and Drug Information School and DUI assessments. Offers counseling\, advocacy\, trainings\, information and referrals. Serves those in need of domestic violence services.  Agency provides DBHR-certified service(s). Serves anyone with an alcohol or drug problem. Call for more information. Sliding scale fees.",Hours vary; Voicemail is available,no restrictions,allowed,t,,
